track_name,artist_name
All Love Is Lost (feat. Max Cavalera),Body Count
Ultimate $Uicide,$uicideboy$
Flesh,Ghostemane
I duckinf hatw you,Ghostemane
LED,OmenXIII
Floor 555,XXXTENTACION
  #ImSippinTeaInYoHood,XXXTENTACION
Take A Step Back,Ski Mask The Slump God
A New Level,Pantera
You're Now Tuning into 66.6 FM with DJ Rapture (The Hottest Hour of the Evening),$uicideboy$
Slip on a Banana Clip,$uicideboy$
Exodus,$uicideboy$
HELL IS XN EARTH,Scarlxrd
Boom,P.O.D.
Thoughts & Prayers,Motionless In White
Breaking Me Down,Soil
HURTWORLD '99,City Morgue
Bring it,Hanislip
I'll Beat Yo Ass,TWOOODLEY
CHLOROFORM NAP,10 TO THE CHEST
Get G00d,Darko US
Rickets,Deftones
Choke,I Prevail
Dig,Mudvayne
Resentment,Kublai Khan TX
new low,thrown
Chop Suey!,System Of A Down
Straight Outta Flames,REDZED
Break Stuff,Limp Bizkit
Monster,Skillet
Horror,REDZED
H2O,XXXTENTACION
Sub-Zero,Alpha Wolf
Looking Down the Barrel of Today,Hatebreed
Duality,Slipknot
My Own Summer (Shove It),Deftones
TOXIC ORPHAN,10 TO THE CHEST
Blinding Faith,Knocked Loose
Down with the Sickness,Disturbed
Coming Undone,Korn
Click Click Boom,Saliva
Bodies,Drowning Pool
Walk,Pantera
King of the Rats,Bodysnatcher
BLXXDY NXSE (feat. Scarlxrd & nascar aloe),Jasiah
Tactical Nuke Interlude,ZillaKami
Hollow,Wage War
Pentagram,XXXWELLL
F.F.W.A.S.,PeelingFlesh
U Mad,VIC MENSA
Thunderstruck,AC/DC
JESUS LOVE YOU BUT I DON'T,Pranav.Wav
Cursed,Gideon
I Stand Alone,Godsmack
guilt,thrown
Sound of Madness,Shinedown
ALL KILLER NO FILLER,City Morgue
SLIT WRIST SAVIOR - Graveside Edition,Carnifex
Engine No. 9,Deftones
DAWG,City Morgue
Brain Stew,Green Day
One Minute (feat. Kanye West & Travis Barker),XXXTENTACION
All Alright,Keith Ape
FLAP LIPS,City Morgue
Kill or Be Killed,Spite
Body Bag,Beartooth
Search Me Up,Lil Toe
Redneck Stomp,Obituary
Malicious Intent,Malevolence
Counting Worms,Knocked Loose
Fall in Line,Yung Rare
Pulling Teeth,Of Mice & Men
Headache,Motionless In White
In The Court Of The Dragon,Trivium
Taipan,Kublai Khan TX
Grotesque,Dealer
369,Xile
Sippin' Blood,REDZED
Soft,Motionless In White
Carbomb,Ghostemane
Akudama,Alpha Wolf
Stitch,Wage War
Leech,Angelmaker
Crooked,Dealer
The Orphan,Paleface Swiss
Extermination,Upon A Burning Body
TRUTH BE TOLD,Southpaw FLHC
Theory of Mind,Kublai Khan TX
Right Now,Korn
Tear Away,Drowning Pool
Self-Destruction,I Prevail
Pain,Paleface Swiss
Divide,The Plot In You
Shinjuku Masterlord,Emmure
Black of My Eyes,Bodysnatcher
Crewcabanger,Chelsea Grin
Blind - Live at CBGB,Korn
Given Up,Linkin Park
Suffocate (feat. Poppy),Knocked Loose
No Rest No Peace,Katalepsy
Destroy Everything,Hatebreed
Last Resort,Papa Roach
OMINOUS,Dozy Doe
Natural Born Killer,Emmure
Holy Breaker,Splutter
Backbreaker,Fit For A King
BITE DOWN,Gideon
Voices,Motionless In White
Creep,Alpha Wolf
Bones Exposed,Of Mice & Men
Zavali Ebalo,Slaughter to Prevail
Lights Out,Paleface Swiss
Conflict,Slaughter to Prevail
Vagabond,Ghostemane
H2O,Ski Mask The Slump God
Deathtouch,Paleface Swiss
Black Hole,We Came As Romans
Face the Pain,Stemm
Dirty Dozen,Kxng
Serve Your Masters,Hatebreed
Slave No More,Torena
